Store ID,Store Name,Address,City,County,Zip Code,Store Location,Store_Segment,CLV,Frequency
6212,Hampton Crossroads / Hampton,4 4TH STREET SOUTHEAST,Hampton,Franklin,50441.0,POINT (-93.20248 42.74154),,,
5159,Kimmes Rockwell City Country Store #,"730, HIGH ST",Rockwell City,Calhoun,50579.0,POINT (-94.63884 42.39881),At-Risk Accounts,20337.849999999995,26.238805970149254
3805,Washington Street Mini Mart,1601 WASHINGTON ST,Davenport,Scott,52804.0,POINT (-90.59627 41.53595),Loyal Giants,140172.73000000004,94.71428571428572
4184,Fareway Stores #998 / Muscatine,2100 CEDAR PLAZA DR,Muscatine,Muscatine,52761.0,POINT (-91.08189 41.43537),Loyal Giants,90668.81,81.07438016528926
5462,7Star Liquor & Tobacco Outlet,502 E AVE NW,Cedar Rapids,Linn,52405.0,,Loyal Giants,115300.6,92.80219780219781
4719,Walgreens #06677 / West Des Moines,4900 MILLS CIVIC PKWY,West Des Moines,Polk,50265.0,POINT (-93.77001 41.55913),Rising Stars,9427.05,13.119533527696793
6141,Kj'S Convenience & Deli / Maquoketa,916 WEST PLATT,Maquoketa,Jackson,52060.0,POINT (-90.67721 42.06901),At-Risk Accounts,46200.34999999999,33.02521008403361
3488,Bender'S Foods,400 S SECOND,Bellevue,Jackson,52031.0,POINT (-90.42298 42.25545),Loyal Giants,215592.52,134.3801652892562
5359,Fareway Stores #168/ Peosta,8400 NICC DRIVE,Peosta,Dubuque,52068.0,POINT (-90.84849 42.44482),Loyal Giants,164300.7,80.16528925619835
5329,Diva & Tej Gas & Food,2293 HWY 30,Grand Mounds,Clinton,52751.0,POINT (-90.64632 41.82803),Champions,80029.59,49.309392265193374
2683,Hy-Vee Fast & Fresh / Wdm,425 S JORDAN CREEK PKWY,West Des Moines,Polk,50266.0,POINT (-93.80946 41.56264),Loyal Giants,52184.82,84.94475138121547
5998,Wilton Express,1300 NICOLAUS DR,Wilton,Iowa,52778.0,POINT (-91.03476 41.58997),Rising Stars,45634.31,45.168539325842694
3738,Hartig Drug Company #4 / Dubuque,2225 CENTRAL AVE,Dubuque,Dubuque,52001.0,POINT (-90.6715 42.51383),At-Risk Accounts,11031.33,28.57142857142857
5804,Casey'S General Store #2030 / Clinton,1336 CAMANCHE AVE,Clinton,Clinton,52732.0,POINT (-90.20001 41.83132),Rising Stars,32174.6,28.39887640449438
6139,Super Saver Tobacco & Liquor / Davenport,1610 ROCKINGHAM RD,Davenport,Scott,52802.0,POINT (-90.59935 41.52026),Loyal Giants,89252.11,134.91758241758242
4371,Kum & Go #50 / West Des Moines,745 S 51ST ST,West Des Moines,Polk,50265.0,POINT (-93.77348 41.55849),At-Risk Accounts,40525.21,69.58677685950414
4540,Casey'S General Store #2915 / Bellevue,1104 N RIVERVIEW ST,Bellevue,Jackson,52031.0,POINT (-90.42779 42.26836),At-Risk Accounts,32057.41,25.88785046728972
4110,"Brothers Market, Inc.",706 HIGHWAY 57,Parkersburg,Butler,50665.0,POINT (-92.7852 42.57036),Loyal Giants,104490.86000000002,87.34806629834254
6072,Pearl City Tobacco & Liquor Outlet / Muscatine,200 GREEN ST,Muscatine,Muscatine,52761.0,POINT (-91.05788 41.41386),Loyal Giants,103665.21,94.36974789915966
6046,Casey'S General Store #2150 / Wdm,2125 GRAND AVE,West Des Moines,Polk,50265.0,POINT (-93.734597 41.56575),Champions,56453.71,74.46280991735537
